Date,Visitor,G,Home,G,,Att.,LOG,Notes
2005-10-18,Phoenix Coyotes,4,Edmonton Oilers,3,OT,,,
2005-10-18,Boston Bruins,3,Montreal Canadiens,4,,,,
2005-10-18,Florida Panthers,3,New Jersey Devils,4,,,,
2005-10-18,Chicago Blackhawks,2,Vancouver Canucks,6,,,,
2005-10-19,Los Angeles Kings,5,Colorado Avalanche,4,,,,
2005-10-19,San Jose Sharks,1,Minnesota Wild,6,,,,
2005-10-19,New York Islanders,3,New York Rangers,2,SO,,,
2005-10-19,Mighty Ducks of Anaheim,2,St. Louis Blues,3,,,,
2005-10-20,Tampa Bay Lightning,6,Atlanta Thrashers,0,,,,
2005-10-20,Buffalo Sabres,4,Boston Bruins,3,,,,
2005-10-20,Edmonton Oilers,1,Calgary Flames,3,,,,
2005-10-20,Los Angeles Kings,7,Dallas Stars,2,,,,
2005-10-20,Washington Capitals,2,Florida Panthers,3,,,,
2005-10-20,St. Louis Blues,2,Nashville Predators,3,SO,,,
2005-10-20,New York Rangers,4,New York Islanders,5,,,,
2005-10-20,New Jersey Devils,6,Pittsburgh Penguins,3,,,,
2005-10-20,Carolina Hurricanes,4,Toronto Maple Leafs,5,OT,,,
2005-10-20,Phoenix Coyotes,2,Vancouver Canucks,3,,,,
2005-10-21,San Jose Sharks,1,Columbus Blue Jackets,4,,,,
2005-10-21,Mighty Ducks of Anaheim,2,Detroit Red Wings,3,,,,
2005-10-21,Colorado Avalanche,7,Edmonton Oilers,1,,,,
2005-10-21,Ottawa Senators,4,Tampa Bay Lightning,1,,,,
2005-10-22,New Jersey Devils,3,Atlanta Thrashers,4,,,,
2005-10-22,Pittsburgh Penguins,3,Boston Bruins,6,,,,
2005-10-22,New York Rangers,1,Buffalo Sabres,3,,,,
2005-10-22,Detroit Red Wings,6,Columbus Blue Jackets,0,,,,
2005-10-22,Calgary Flames,1,Dallas Stars,2,,,,
2005-10-22,New York Islanders,3,Montreal Canadiens,4,,,,
2005-10-22,San Jose Sharks,1,Nashville Predators,2,,,,
2005-10-22,Minnesota Wild,3,St. Louis Blues,2,,,,
2005-10-22,Philadelphia Flyers,5,Toronto Maple Leafs,2,,,,
2005-10-22,Colorado Avalanche,4,Vancouver Canucks,6,,,,
2005-10-22,Carolina Hurricanes,4,Washington Capitals,0,,,,
2005-10-23,Minnesota Wild,2,Chicago Blackhawks,4,,,,
2005-10-23,Calgary Flames,3,Los Angeles Kings,2,,,,
2005-10-23,Phoenix Coyotes,3,Mighty Ducks of Anaheim,5,,,,
2005-10-24,Ottawa Senators,2,Carolina Hurricanes,3,,,,
2005-10-24,Detroit Red Wings,6,Columbus Blue Jackets,2,,,,
2005-10-24,Boston Bruins,4,Toronto Maple Leafs,5,SO,,,
2005-10-25,Edmonton Oilers,3,Colorado Avalanche,5,,,,
2005-10-25,Mighty Ducks of Anaheim,1,Los Angeles Kings,3,,,,
2005-10-25,Vancouver Canucks,3,Minnesota Wild,1,,,,
2005-10-25,Philadelphia Flyers,2,Montreal Canadiens,3,OT,,,
2005-10-25,Chicago Blackhawks,3,Nashville Predators,5,,,,
2005-10-25,Atlanta Thrashers,3,New York Islanders,4,,,,
2005-10-25,St. Louis Blues,4,Phoenix Coyotes,5,OT,,,
2005-10-25,Florida Panthers,4,Pittsburgh Penguins,3,OT,,,
2005-10-26,Washington Capitals,3,Buffalo Sabres,2,,,,at Blue Cross Arena (Rochester NY)
2005-10-26,Boston Bruins,3,Carolina Hurricanes,4,OT,,,
2005-10-26,Nashville Predators,2,Columbus Blue Jackets,3,OT,,,
2005-10-26,San Jose Sharks,5,Dallas Stars,4,OT,,,
2005-10-26,Calgary Flames,1,Mighty Ducks of Anaheim,4,,,,
2005-10-26,Tampa Bay Lightning,6,New Jersey Devils,3,,,,
2005-10-27,Toronto Maple Leafs,1,Boston Bruins,2,,,,
2005-10-27,Vancouver Canucks,2,Colorado Avalanche,6,,,,
2005-10-27,Chicago Blackhawks,2,Detroit Red Wings,5,,,,
2005-10-27,New York Islanders,1,New York Rangers,3,,,,
2005-10-27,Montreal Canadiens,3,Ottawa Senators,4,OT,,,
2005-10-27,Florida Panthers,4,Philadelphia Flyers,5,OT,,,
2005-10-27,Calgary Flames,2,Phoenix Coyotes,3,,,,
2005-10-27,Atlanta Thrashers,5,Pittsburgh Penguins,7,,,,
2005-10-28,Philadelphia Flyers,6,Carolina Hurricanes,8,,,,
2005-10-28,Minnesota Wild,1,Columbus Blue Jackets,2,SO,,,
2005-10-28,Edmonton Oilers,5,Dallas Stars,3,,,,
2005-10-28,San Jose Sharks,5,Los Angeles Kings,4,,,,
2005-10-28,St. Louis Blues,4,Mighty Ducks of Anaheim,6,,,,
2005-10-28,Buffalo Sabres,2,New Jersey Devils,3,,,,
2005-10-28,Washington Capitals,2,Tampa Bay Lightning,4,,,,
2005-10-29,Tampa Bay Lightning,3,Atlanta Thrashers,2,,,,
2005-10-29,New Jersey Devils,5,Boston Bruins,4,SO,,,
2005-10-29,Detroit Red Wings,4,Chicago Blackhawks,2,,,,
2005-10-29,Vancouver Canucks,3,Colorado Avalanche,4,OT,,,
2005-10-29,St. Louis Blues,2,Los Angeles Kings,5,,,,
2005-10-29,Columbus Blue Jackets,1,Minnesota Wild,3,,,,
2005-10-29,New York Rangers,5,Montreal Canadiens,2,,,,
2005-10-29,Edmonton Oilers,5,Nashville Predators,1,,,,
2005-10-29,Buffalo Sabres,6,New York Islanders,4,,,,
2005-10-29,Dallas Stars,5,Phoenix Coyotes,3,,,,
2005-10-29,Carolina Hurricanes,5,Pittsburgh Penguins,3,,,,
2005-10-29,Calgary Flames,2,San Jose Sharks,3,SO,,,
2005-10-29,Ottawa Senators,8,Toronto Maple Leafs,0,,,,
2005-10-30,Phoenix Coyotes,2,Mighty Ducks of Anaheim,3,,,,
2005-10-30,Philadelphia Flyers,5,Ottawa Senators,3,,,,
2005-10-31,Montreal Canadiens,4,New York Rangers,1,,,,
2005-10-31,Florida Panthers,1,Toronto Maple Leafs,2,,,,
2005-11-01,Minnesota Wild,0,Calgary Flames,3,,,,
2005-11-01,Chicago Blackhawks,1,Detroit Red Wings,4,,,,
2005-11-01,Columbus Blue Jackets,1,Edmonton Oilers,5,,,,
2005-11-01,Nashville Predators,1,Mighty Ducks of Anaheim,4,,,,
2005-11-01,Florida Panthers,4,Montreal Canadiens,5,OT,,,
2005-11-01,Pittsburgh Penguins,4,New Jersey Devils,3,OT,,,
2005-11-01,Boston Bruins,3,New York Islanders,4,OT,,,
2005-11-01,Atlanta Thrashers,6,Tampa Bay Lightning,4,,,,
2005-11-02,Ottawa Senators,10,Buffalo Sabres,4,,,,
2005-11-02,Los Angeles Kings,6,Dallas Stars,3,,,,
2005-11-02,Nashville Predators,2,San Jose Sharks,3,OT,,,
2005-11-02,Chicago Blackhawks,6,St. Louis Blues,5,OT,,,
2005-11-02,Minnesota Wild,1,Vancouver Canucks,2,,,,
2005-11-03,Florida Panthers,1,Boston Bruins,4,,,,
2005-11-03,Toronto Maple Leafs,3,Carolina Hurricanes,4,,,,
2005-11-03,Columbus Blue Jackets,1,Calgary Flames,2,,,,
2005-11-03,Mighty Ducks of Anaheim,3,Colorado Avalanche,4,,,,
2005-11-03,Edmonton Oilers,4,Detroit Red Wings,3,OT,,,
2005-11-03,New York Rangers,4,New Jersey Devils,2,,,,
2005-11-03,Pittsburgh Penguins,5,New York Islanders,1,,,,
2005-11-03,Tampa Bay Lightning,2,Ottawa Senators,4,,,,
2005-11-03,Washington Capitals,1,Philadelphia Flyers,8,,,,
2005-11-03,Los Angeles Kings,0,Phoenix Coyotes,4,,,,
2005-11-04,Montreal Canadiens,3,Buffalo Sabres,2,,,,
2005-11-04,Chicago Blackhawks,1,Dallas Stars,9,,,,
2005-11-04,San Jose Sharks,1,Mighty Ducks of Anaheim,0,OT,,,
2005-11-04,Edmonton Oilers,7,St. Louis Blues,2,,,,
2005-11-04,Columbus Blue Jackets,3,Vancouver Canucks,5,,,,
2005-11-04,Atlanta Thrashers,2,Washington Capitals,3,SO,,,
2005-11-05,Pittsburgh Penguins,3,Boston Bruins,6,,,,
2005-11-05,Florida Panthers,0,Carolina Hurricanes,2,,,,
2005-11-05,Vancouver Canucks,0,Calgary Flames,1,,,,
2005-11-05,Dallas Stars,3,Colorado Avalanche,2,SO,,,
2005-11-05,Phoenix Coyotes,4,Detroit Red Wings,1,,,,
2005-11-05,Nashville Predators,2,Los Angeles Kings,3,SO,,,
2005-11-05,Buffalo Sabres,2,Montreal Canadiens,3,,,,
2005-11-05,New Jersey Devils,2,New York Rangers,3,SO,,,
2005-11-05,New York Islanders,0,Ottawa Senators,6,,,,
2005-11-05,Atlanta Thrashers,3,Philadelphia Flyers,4,,,,
2005-11-05,Minnesota Wild,3,San Jose Sharks,1,,,,
2005-11-05,Tampa Bay Lightning,3,Toronto Maple Leafs,5,,,,
2005-11-06,Phoenix Coyotes,1,Chicago Blackhawks,2,OT,,,
2005-11-06,Minnesota Wild,4,Mighty Ducks of Anaheim,3,SO,,,
2005-11-06,Detroit Red Wings,4,St. Louis Blues,1,,,,
2005-11-06,Toronto Maple Leafs,4,Washington Capitals,5,,,,
2005-11-07,Vancouver Canucks,3,Calgary Flames,4,,,,
2005-11-07,Edmonton Oilers,0,Dallas Stars,4,,,,
2005-11-07,Pittsburgh Penguins,3,New York Rangers,2,,,,
2005-11-08,San Jose Sharks,2,Colorado Avalanche,5,,,,
2005-11-08,Phoenix Coyotes,4,Minnesota Wild,2,,,,
2005-11-08,Tampa Bay Lightning,2,Montreal Canadiens,3,,,,
2005-11-08,New York Islanders,4,New Jersey Devils,1,,,,
2005-11-08,Edmonton Oilers,2,Nashville Predators,3,,,,
2005-11-08,Boston Bruins,3,Philadelphia Flyers,4,OT,,,
2005-11-08,Washington Capitals,4,Toronto Maple Leafs,6,,,,
2005-11-09,Pittsburgh Penguins,0,Atlanta Thrashers,5,,,,
2005-11-09,Carolina Hurricanes,5,Buffalo Sabres,3,,,,
2005-11-09,St. Louis Blues,1,Columbus Blue Jackets,3,,,,
2005-11-09,Los Angeles Kings,4,Detroit Red Wings,5,OT,,,
2005-11-09,New York Rangers,4,Florida Panthers,3,SO,,,
2005-11-10,Ottawa Senators,5,Boston Bruins,2,,,,
2005-11-10,Dallas Stars,3,Nashville Predators,5,,,,
2005-11-10,New York Islanders,2,Philadelphia Flyers,3,,,,
2005-11-10,Calgary Flames,4,Phoenix Coyotes,3,,,,
2005-11-10,Montreal Canadiens,2,Pittsburgh Penguins,3,SO,,,
2005-11-10,Chicago Blackhawks,4,St. Louis Blues,2,,,,
2005-11-10,New York Rangers,5,Tampa Bay Lightning,2,,,,
2005-11-10,Colorado Avalanche,5,Vancouver Canucks,3,,,,
2005-11-11,Tampa Bay Lightning,2,Atlanta Thrashers,5,,,,
2005-11-11,Toronto Maple Leafs,2,Buffalo Sabres,5,,,,
2005-11-11,Edmonton Oilers,3,Columbus Blue Jackets,1,,,,
2005-11-11,Los Angeles Kings,4,Chicago Blackhawks,2,,,,
2005-11-11,Minnesota Wild,1,Detroit Red Wings,3,,,,
2005-11-11,Carolina Hurricanes,1,Florida Panthers,0,,,,
2005-11-11,New Jersey Devils,4,Washington Capitals,3,,,,
2005-11-12,Atlanta Thrashers,9,Carolina Hurricanes,0,,,,
2005-11-12,Colorado Avalanche,3,Calgary Flames,5,,,,
2005-11-12,Toronto Maple Leafs,5,Montreal Canadiens,4,OT,,,
2005-11-12,Washington Capitals,2,New Jersey Devils,3,,,,
2005-11-12,St. Louis Blues,1,Nashville Predators,3,,,,
2005-11-12,Boston Bruins,2,New York Islanders,5,,,,
2005-11-12,Buffalo Sabres,1,Ottawa Senators,6,,,,
2005-11-12,Florida Panthers,4,Philadelphia Flyers,5,,,,
2005-11-12,Mighty Ducks of Anaheim,1,Phoenix Coyotes,2,OT,,,
2005-11-12,New York Rangers,6,Pittsburgh Penguins,1,,,,
2005-11-12,Dallas Stars,3,San Jose Sharks,2,SO,,,
2005-11-13,Los Angeles Kings,8,Columbus Blue Jackets,2,,,,
2005-11-13,Edmonton Oilers,1,Chicago Blackhawks,3,,,,
2005-11-13,Dallas Stars,3,Mighty Ducks of Anaheim,1,,,,
2005-11-13,Detroit Red Wings,1,Vancouver Canucks,4,,,,
2005-11-14,Minnesota Wild,2,Calgary Flames,3,,,,
2005-11-14,Edmonton Oilers,5,Colorado Avalanche,2,,,,
2005-11-14,New York Islanders,3,Pittsburgh Penguins,2,SO,,,
2005-11-14,Philadelphia Flyers,2,Tampa Bay Lightning,5,,,,
2005-11-15,New Jersey Devils,1,Buffalo Sabres,4,,,,
2005-11-15,Florida Panthers,3,Montreal Canadiens,4,OT,,,
2005-11-15,Los Angeles Kings,2,Nashville Predators,3,,,,
2005-11-15,Carolina Hurricanes,2,Ottawa Senators,1,,,,
2005-11-15,New York Rangers,1,Toronto Maple Leafs,2,,,,
2005-11-15,Tampa Bay Lightning,3,Washington Capitals,4,SO,,,
2005-11-16,New York Islanders,7,Atlanta Thrashers,3,,,,
2005-11-16,St. Louis Blues,2,Columbus Blue Jackets,0,,,,
2005-11-16,Detroit Red Wings,1,Calgary Flames,3,,,,
2005-11-16,Dallas Stars,4,Mighty Ducks of Anaheim,2,,,,
2005-11-16,Pittsburgh Penguins,3,Philadelphia Flyers,2,OT,,,
2005-11-16,Colorado Avalanche,3,Phoenix Coyotes,1,,,,
2005-11-16,Vancouver Canucks,3,San Jose Sharks,1,,,,
2005-11-17,Toronto Maple Leafs,4,Boston Bruins,1,,,,
2005-11-17,Washington Capitals,5,Buffalo Sabres,8,,,,
2005-11-17,New York Rangers,1,Carolina Hurricanes,5,,,,
2005-11-17,Detroit Red Wings,5,Edmonton Oilers,6,OT,,,
2005-11-17,Vancouver Canucks,4,Los Angeles Kings,5,,,,
2005-11-17,Florida Panthers,1,Ottawa Senators,4,,,,
2005-11-17,New York Islanders,2,Tampa Bay Lightning,3,,,,
2005-11-18,Chicago Blackhawks,5,Calgary Flames,2,,,,
2005-11-18,Columbus Blue Jackets,3,Dallas Stars,6,,,,
2005-11-18,Colorado Avalanche,3,Mighty Ducks of Anaheim,2,,,,
2005-11-18,Montreal Canadiens,3,New Jersey Devils,5,,,,
2005-11-18,Atlanta Thrashers,6,Philadelphia Flyers,5,OT,,,
2005-11-19,Buffalo Sabres,3,Boston Bruins,2,,,,
2005-11-19,St. Louis Blues,3,Detroit Red Wings,2,,,,
2005-11-19,Chicago Blackhawks,4,Edmonton Oilers,3,,,,
2005-11-19,New York Islanders,5,Florida Panthers,3,,,,
2005-11-19,Colorado Avalanche,3,Los Angeles Kings,4,,,,
2005-11-19,Nashville Predators,2,Minnesota Wild,4,,,,
2005-11-19,Washington Capitals,5,Montreal Canadiens,1,,,,
2005-11-19,Carolina Hurricanes,3,New York Rangers,4,,,,
2005-11-19,New Jersey Devils,4,Ottawa Senators,5,,,,
2005-11-19,Philadelphia Flyers,6,Pittsburgh Penguins,3,,,,
2005-11-19,Phoenix Coyotes,4,San Jose Sharks,3,SO,,,
2005-11-19,Atlanta Thrashers,1,Toronto Maple Leafs,5,,,,
2005-11-20,Tampa Bay Lightning,5,Carolina Hurricanes,2,,,,
2005-11-20,Vancouver Canucks,3,Mighty Ducks of Anaheim,2,,,,
2005-11-20,Boston Bruins,2,New York Rangers,3,,,,
2005-11-20,Columbus Blue Jackets,1,Phoenix Coyotes,5,,,,
2005-11-21,Calgary Flames,3,Colorado Avalanche,2,SO,,,
2005-11-21,San Jose Sharks,1,Edmonton Oilers,2,SO,,,
2005-11-22,New York Rangers,3,Buffalo Sabres,2,SO,,,
2005-11-22,Ottawa Senators,5,Carolina Hurricanes,3,,,,
2005-11-22,Atlanta Thrashers,2,Montreal Canadiens,3,SO,,,
2005-11-22,Tampa Bay Lightning,4,Philadelphia Flyers,2,,,,
2005-11-22,Mighty Ducks of Anaheim,2,Phoenix Coyotes,1,,,,
2005-11-22,Washington Capitals,4,Pittsburgh Penguins,5,,,,
2005-11-22,Los Angeles Kings,6,St. Louis Blues,3,,,,
2005-11-22,Chicago Blackhawks,1,Vancouver Canucks,3,,,,
2005-11-23,Nashville Predators,4,Columbus Blue Jackets,2,,,,
2005-11-23,San Jose Sharks,2,Calgary Flames,3,,,,
2005-11-23,Mighty Ducks of Anaheim,1,Dallas Stars,3,,,,
2005-11-23,Colorado Avalanche,3,Detroit Red Wings,7,,,,
2005-11-23,New Jersey Devils,5,Florida Panthers,1,,,,
2005-11-23,Edmonton Oilers,4,Minnesota Wild,3,,,,
2005-11-23,Buffalo Sabres,4,New York Islanders,3,SO,,,
2005-11-23,Boston Bruins,5,Toronto Maple Leafs,1,,,,
2005-11-23,Tampa Bay Lightning,4,Washington Capitals,3,SO,,,
2005-11-24,New York Rangers,6,Atlanta Thrashers,3,,,,
2005-11-24,Los Angeles Kings,3,Nashville Predators,4,,,,
2005-11-24,San Jose Sharks,2,Vancouver Canucks,3,,,,
2005-11-25,Philadelphia Flyers,5,Boston Bruins,3,,,,
2005-11-25,Montreal Canadiens,1,Buffalo Sabres,3,,,,
2005-11-25,Toronto Maple Leafs,3,Carolina Hurricanes,4,SO,,,
2005-11-25,Colorado Avalanche,5,Columbus Blue Jackets,0,,,,
2005-11-25,Edmonton Oilers,2,Calgary Flames,1,SO,,,
2005-11-25,Phoenix Coyotes,4,Dallas Stars,1,,,,
2005-11-25,Pittsburgh Penguins,3,Florida Panthers,6,,,,
2005-11-25,Detroit Red Wings,1,Mighty Ducks of Anaheim,3,,,,
2005-11-25,St. Louis Blues,3,Minnesota Wild,5,,,,
2005-11-25,Ottawa Senators,6,New York Islanders,2,,,,
2005-11-25,New Jersey Devils,8,Tampa Bay Lightning,2,,,,
2005-11-26,Florida Panthers,4,Atlanta Thrashers,7,,,,
2005-11-26,Chicago Blackhawks,2,Los Angeles Kings,3,,,,
2005-11-26,Dallas Stars,3,Nashville Predators,1,,,,
2005-11-26,Washington Capitals,2,New York Rangers,3,SO,,,
2005-11-26,Boston Bruins,2,Ottawa Senators,4,,,,
2005-11-26,New York Islanders,4,Philadelphia Flyers,2,,,,
2005-11-26,Vancouver Canucks,1,Phoenix Coyotes,2,,,,
2005-11-26,Detroit Red Wings,7,San Jose Sharks,6,,,,
2005-11-26,Columbus Blue Jackets,4,St. Louis Blues,3,,,,
2005-11-26,Montreal Canadiens,3,Toronto Maple Leafs,4,OT,,,
2005-11-27,Atlanta Thrashers,5,Carolina Hurricanes,2,,,,
2005-11-27,Vancouver Canucks,2,Colorado Avalanche,6,,,,
2005-11-27,Chicago Blackhawks,1,Mighty Ducks of Anaheim,3,,,,
2005-11-27,Pittsburgh Penguins,1,Tampa Bay Lightning,4,,,,
2005-11-27,Buffalo Sabres,3,Washington Capitals,2,,,,
2005-11-28,Toronto Maple Leafs,2,Florida Panthers,1,,,,
2005-11-28,Detroit Red Wings,5,Los Angeles Kings,2,,,,
2005-11-29,Carolina Hurricanes,4,Atlanta Thrashers,3,OT,,,
2005-11-29,Colorado Avalanche,3,Edmonton Oilers,2,,,,
2005-11-29,Boston Bruins,2,New Jersey Devils,3,,,,
2005-11-29,Calgary Flames,0,Nashville Predators,2,,,,
2005-11-29,Philadelphia Flyers,4,New York Islanders,3,,,,
2005-11-29,Montreal Canadiens,0,Ottawa Senators,4,,,,
2005-11-29,Buffalo Sabres,3,Pittsburgh Penguins,2,,,,
2005-11-30,Los Angeles Kings,2,Chicago Blackhawks,3,,,,
2005-11-30,San Jose Sharks,1,Dallas Stars,4,,,,
2005-11-30,Phoenix Coyotes,1,Mighty Ducks of Anaheim,6,,,,
2005-11-30,Columbus Blue Jackets,3,Minnesota Wild,2,SO,,,
2005-11-30,New Jersey Devils,1,Philadelphia Flyers,2,,,,
2005-11-30,Toronto Maple Leafs,1,Tampa Bay Lightning,2,,,,
2005-11-30,Colorado Avalanche,2,Vancouver Canucks,5,,,,
2005-12-01,Toronto Maple Leafs,4,Atlanta Thrashers,0,,,,
2005-12-01,Ottawa Senators,0,Boston Bruins,3,,,,
2005-12-01,Calgary Flames,3,Detroit Red Wings,2,,,,
2005-12-01,Vancouver Canucks,3,Edmonton Oilers,5,,,,
2005-12-01,Washington Capitals,2,Florida Panthers,3,,,,
2005-12-01,Buffalo Sabres,3,Montreal Canadiens,2,OT,,,
2005-12-01,Minnesota Wild,1,Nashville Predators,2,,,,
2005-12-01,Pittsburgh Penguins,1,New York Rangers,2,,,,
2005-12-01,Columbus Blue Jackets,1,St. Louis Blues,4,,,,
2005-12-02,San Jose Sharks,5,Buffalo Sabres,0,,,,
2005-12-02,Carolina Hurricanes,4,Dallas Stars,5,SO,,,
2005-12-02,Los Angeles Kings,1,Ottawa Senators,5,,,,
2005-12-02,Chicago Blackhawks,2,Tampa Bay Lightning,3,SO,,,
2005-12-03,Boston Bruins,5,Edmonton Oilers,4,OT,,,
2005-12-03,Chicago Blackhawks,3,Florida Panthers,4,OT,,,
2005-12-03,Atlanta Thrashers,1,Mighty Ducks of Anaheim,2,,,,
2005-12-03,Los Angeles Kings,2,Montreal Canadiens,3,,,,
2005-12-03,Minnesota Wild,2,New Jersey Devils,3,SO,,,
2005-12-03,Philadelphia Flyers,3,Nashville Predators,4,SO,,,
2005-12-03,Carolina Hurricanes,4,Phoenix Coyotes,8,,,,
2005-12-03,Calgary Flames,3,Pittsburgh Penguins,2,,,,
2005-12-03,San Jose Sharks,5,Toronto Maple Leafs,4,,,,
2005-12-03,New York Rangers,1,Washington Capitals,5,,,,
